x,y
3.313396804793630963e+02,1.019900385631888071e+03
3.284013872838667112e+02,1.039683369054448576e+03
3.320950779048580443e+02,1.059339326156467223e+03
3.385485064372701913e+02,1.078269546973379192e+03
3.384555329161798340e+02,1.098269330870321028e+03
3.336500524108748209e+02,1.117683432886977243e+03
3.297737750529950631e+02,1.137304199279878048e+03
3.196933656733805833e+02,1.154578033444283392e+03
3.045176527978308627e+02,1.167604841906791535e+03
2.928409059640212604e+02,1.183842254982128225e+03
2.889646286061415026e+02,1.203463021375029030e+03
2.860263354106451175e+02,1.223246004797589421e+03
2.785068529792318941e+02,1.241778608067601681e+03
2.639681695427413501e+02,1.255512751067203681e+03
2.500994503394282447e+02,1.269923116352638090e+03
2.400190409598137364e+02,1.287196950517043433e+03
2.261503217565006310e+02,1.301607315802477842e+03
2.103719573125798945e+02,1.313897279816860419e+03
2.011248877408529268e+02,1.331631193776718192e+03
2.000803914933495662e+02,1.351603900843837437e+03
2.037740821143408994e+02,1.371259857945856083e+03
2.119977209124193394e+02,1.389490923875163162e+03
2.193445760726327194e+02,1.408092636679495172e+03
2.323713845351408906e+02,1.423268349555044779e+03
2.360650751561322238e+02,1.442924306657063426e+03
2.406898501747504042e+02,1.462382247350445368e+03
2.480367053349637843e+02,1.480983960154777378e+03
2.507909441610552790e+02,1.500793406600573235e+03
2.630809081754377985e+02,1.516571771044493971e+03
2.798555317541562886e+02,1.527462684862548940e+03
2.935896747537582314e+02,1.542001368299039541e+03
3.103642983324767215e+02,1.552892282117094510e+03
3.254182417915089900e+02,1.566059619977583225e+03
3.410816614003445579e+02,1.578495748239930208e+03
3.592354821367063664e+02,1.586888530417017819e+03
3.707607609816006402e+02,1.603233803358985824e+03
3.889145817179624487e+02,1.611626585536073435e+03
4.088149673498505194e+02,1.613620238390043596e+03
4.285979507724109112e+02,1.616558531585539868e+03
4.442613703812464792e+02,1.628994659847886851e+03
4.631307738777875329e+02,1.635623808487397355e+03
4.830311595096756037e+02,1.637617461341367516e+03
5.011849802460374121e+02,1.646010243518455127e+03
5.127102590909316859e+02,1.662355516460423132e+03
5.289476721662684895e+02,1.674032263294232735e+03
5.446110917751040006e+02,1.686468391556579718e+03
5.569010557894865769e+02,1.702246756000500454e+03
5.668204303068139325e+02,1.719613563685996269e+03
5.741672854670273409e+02,1.738215276490328279e+03
5.823909242651058094e+02,1.756446342419635357e+03
5.986283373404426129e+02,1.768123089253444959e+03
6.116551458029507558e+02,1.783298802128994566e+03
6.190020009631641642e+02,1.801900514933326576e+03
6.254554294955763680e+02,1.820830735750238546e+03
6.391895724951782540e+02,1.835369419186729147e+03
6.522163809576863969e+02,1.850545132062278753e+03
6.684537940330232004e+02,1.862221878896088356e+03
6.880745604259241190e+02,1.866098156253968000e+03
7.031285038849563307e+02,1.879265494114456715e+03
7.187919234937918418e+02,1.891701622376803698e+03
7.376613269903328955e+02,1.898330771016314202e+03
7.533247465991684066e+02,1.910766899278661185e+03
7.656147106135509830e+02,1.926545263722581922e+03
7.738383494116294514e+02,1.944776329651889000e+03
7.811852045718428599e+02,1.963378042456221010e+03
7.927104834167371337e+02,1.979723315398189015e+03
7.982558662300801871e+02,1.998939161188928438e+03
7.972113699825767981e+02,2.018911868256047683e+03
7.914875722887968550e+02,2.038075326711156549e+03
7.848584236492863511e+02,2.056944730207697376e+03
7.791346259555064080e+02,2.076108188662806242e+03
7.761963327600100229e+02,2.095891172085366634e+03
7.723200554021302651e+02,2.115511938478267439e+03
7.656909067626197611e+02,2.134381341974808493e+03
7.564438371908928502e+02,2.152115255934666493e+03
7.516383566855878371e+02,2.171529357951322709e+03
7.459145589918078940e+02,2.190692816406431575e+03
7.448700627443045050e+02,2.210665523473550820e+03
7.539518559933686674e+02,2.228484643299772870e+03
7.621754947914471359e+02,2.246715709229079948e+03
7.784129078667839394e+02,2.258392456062889778e+03
7.866365466648624079e+02,2.276623521992196856e+03
7.921819294782054612e+02,2.295839367782936279e+03
8.065922947636398703e+02,2.309708086986249327e+03
8.247461155000016788e+02,2.318100869163336938e+03
8.424800294598595656e+02,2.327347938735063963e+03
8.575339729188917772e+02,2.340515276595552677e+03
8.719443382043261863e+02,2.354383995798865726e+03
8.842343022187087627e+02,2.370162360242786235e+03
8.924579410167872311e+02,2.388393426172093314e+03
8.980033238301302845e+02,2.407609271962832736e+03
9.062269626282087529e+02,2.425840337892139814e+03
9.117723454415518063e+02,2.445056183682879237e+03
9.069668649362467931e+02,2.464470285699535452e+03
9.087754127306405962e+02,2.484388346721517337e+03
9.152288412630526864e+02,2.503318567538429306e+03
9.151358677419623291e+02,2.523318351435371369e+03
9.159946275622136227e+02,2.543299906218999240e+03
9.159016540411232654e+02,2.563299690115941303e+03
9.223550825735353556e+02,2.582229910932853272e+03
9.279004653868784089e+02,2.601445756723592694e+03
9.249621721913820238e+02,2.621228740146153086e+03
9.229685193374117489e+02,2.641129125778041271e+03
9.163393706979011313e+02,2.659998529274582324e+03
9.181479184922948207e+02,2.679916590296564209e+03
9.227726935109129727e+02,2.699374530989945924e+03
9.207790406569426978e+02,2.719274916621834109e+03
9.123862584798550870e+02,2.737428737358196031e+03
8.960409855378869679e+02,2.748954016203090305e+03
8.828736476773982531e+02,2.764007959662122630e+03
8.704375194150512698e+02,2.779671379270958369e+03
8.587607725812416675e+02,2.795908792346295286e+03
8.448920533779285051e+02,2.810319157631729922e+03
8.317247155174397903e+02,2.825373101090762248e+03
8.278484381595600325e+02,2.844993867483663053e+03
8.230429576542550194e+02,2.864407969500319268e+03
8.248515054486487088e+02,2.884326030522301153e+03
8.200460249433436957e+02,2.903740132538957369e+03
8.255914077566867491e+02,2.922955978329696791e+03
8.355107822740141046e+02,2.940322786015192833e+03
8.373193300684077940e+02,2.960240847037174717e+03
8.289265478913200695e+02,2.978394667773536639e+03
8.150578286880069072e+02,2.992805033058970821e+03
8.066650465109191828e+02,3.010958853795332743e+03
7.957741326928641001e+02,3.027733477374051290e+03
7.788989785532575070e+02,3.038467962585952137e+03
7.637232656777077864e+02,3.051494771048460279e+03
7.451215528733758902e+02,3.058841626208673460e+03
7.268904869440688117e+02,3.067065265006751815e+03
7.072345298420500512e+02,3.070758955627743035e+03
6.872618227749309199e+02,3.069714459380239532e+03
6.694427029487089840e+02,3.078796252629303581e+03
6.499847622553271549e+02,3.083421027647921619e+03
6.313830494509952587e+02,3.090767882808134800e+03
6.114014946673673876e+02,3.091626642628385980e+03
5.945263405277607944e+02,3.102361127840286827e+03
5.771595328422649800e+02,3.112280502357614296e+03
5.572414718202830954e+02,3.114089050152007985e+03
5.372599170366552244e+02,3.114947809972259165e+03
