x,y
3.414881354853423545e+02,1.005787849502327163e+03
3.503836303755714994e+02,1.010356237692696709e+03
3.594864223496150544e+02,1.014496186759688726e+03
3.667345235080965722e+02,1.021385673648885813e+03
3.736466000411677442e+02,1.028612235625439098e+03
3.802069938723224141e+02,1.036159502202163821e+03
3.856265243313107476e+02,1.044563589874487207e+03
3.897948654066229892e+02,1.053653415652788226e+03
3.967069419396941612e+02,1.060879977629341511e+03
4.039550430981756790e+02,1.067769464518538598e+03
4.101488928253406812e+02,1.075620338709181169e+03
4.167092866564953511e+02,1.083167605285905893e+03
4.195415829443412008e+02,1.092758126530231266e+03
4.261019767754958707e+02,1.100305393106955989e+03
4.347700234248907236e+02,1.105291871552102975e+03
4.426401919842116399e+02,1.111461186493640298e+03
4.517429839582551949e+02,1.115601135560632429e+03
4.616962075866380246e+02,1.114635040635999530e+03
4.716856113928030823e+02,1.115095270575676523e+03
4.816855992149410781e+02,1.115079664259899801e+03
4.916735178642989013e+02,1.114588257041993984e+03
5.014898393644531325e+02,1.112680422613745804e+03
5.112042638847066200e+02,1.110307669731480701e+03
5.196083515570300051e+02,1.104888139272492481e+03
5.250016242794550863e+02,1.096467176777531222e+03
5.322281862560084846e+02,1.089555100244460164e+03
5.376214589784335658e+02,1.081134137749498905e+03
5.441582638765772799e+02,1.073566431245966669e+03
5.528107042101954676e+02,1.068552921868975545e+03
5.620885719531742097e+02,1.064821813435306694e+03
5.720779757593392105e+02,1.065282043374983687e+03
5.809591681939776890e+02,1.060685912291243767e+03
5.900489939722785948e+02,1.056517571215931412e+03
5.958368434746057574e+02,1.048362769063922315e+03
6.020061584161431938e+02,1.040492600504601342e+03
6.108873508507816723e+02,1.035896469420861422e+03
6.162806235732067535e+02,1.027475506925900163e+03
6.195365512422063148e+02,1.018020405920927033e+03
6.176287168139580217e+02,1.008204084420772801e+03
6.143432931825861942e+02,9.987591920676317159e+02
6.124354587543379012e+02,9.889428705674774847e+02
6.058750649231832313e+02,9.813956039907526474e+02
5.977202627711742480e+02,9.756077544884254849e+02
5.892993002762128754e+02,9.702144817660004037e+02
5.811444981242038921e+02,9.644266322636732411e+02
5.738963969657223743e+02,9.575371453744761538e+02
5.669843204326512023e+02,9.503105833979227555e+02
5.580888255424221143e+02,9.457421952075532090e+02
5.480994217362571135e+02,9.452819652678761031e+02
5.381461981078742838e+02,9.462480601925091150e+02
5.290563723295733780e+02,9.504164012678213567e+02
5.192400508294191468e+02,9.523242356960696497e+02
5.111033537800085469e+02,9.581375102574604625e+02
5.032524795893659757e+02,9.643313599846254647e+02
4.933564982347713794e+02,9.657699541002524484e+02
4.840786304917926373e+02,9.695010625339211856e+02
4.746337381386514949e+02,9.727864861652930131e+02
4.648115096091360101e+02,9.709093003156841633e+02
4.566567074571269700e+02,9.651214508133570007e+02
4.494086062986454522e+02,9.582319639241599134e+02
4.399535052936723787e+02,9.549760362551603521e+02
4.300002816652895490e+02,9.559421311797933640e+02
4.201043003106949527e+02,9.573807252954203477e+02
4.112231078760565310e+02,9.619768563791603810e+02
4.058298351536314499e+02,9.703978188741217537e+02
4.044221359699736240e+02,9.802982422493279273e+02
4.072544322578194738e+02,9.898887634936531867e+02
4.145025334163009916e+02,9.967782503828502740e+02
4.190986645000409681e+02,1.005659442817488753e+03
4.186384345603638621e+02,1.015648846623653753e+03
4.205462689886120984e+02,1.025465168123808098e+03
4.255597783656031652e+02,1.034117608457426286e+03
4.331274848691354009e+02,1.040654413355569886e+03
4.409976534284563172e+02,1.046823728297107209e+03
4.508980768036624909e+02,1.048231427480764978e+03
4.601875451099319889e+02,1.051933559108194459e+03
4.688555917593268418e+02,1.056920037553341444e+03
4.767257603186477581e+02,1.063089352494878767e+03
4.858285522926913131e+02,1.067229301561870898e+03
4.942495147876526858e+02,1.072622574284295979e+03
5.037046157926257592e+02,1.075878501953295654e+03
5.102650096237804291e+02,1.083425768530020378e+03
5.148611407075204625e+02,1.092306960964658856e+03
5.227313092668413219e+02,1.098476275906196179e+03
5.302990157703735576e+02,1.105013080804340007e+03
5.353125251473646813e+02,1.113665521137958194e+03
5.353281314631414034e+02,1.123665508960096076e+03
5.339204322794835207e+02,1.133565932335302250e+03
5.320432464298746709e+02,1.143388160864817792e+03
5.270567679847277986e+02,1.152056207514212701e+03
5.233546363572982045e+02,1.161345675820482256e+03
5.200987086882986432e+02,1.170800776825455387e+03
5.172963607011163276e+02,1.180400091684274003e+03
5.168361307614392217e+02,1.190389495490439003e+03
5.140337827742569061e+02,1.199988810349257619e+03
5.126260835905990234e+02,1.209889233724463793e+03
5.135921785152320354e+02,1.219842457352846623e+03
5.168776021466038628e+02,1.229287349705987708e+03
5.178436970712368748e+02,1.239240573334370538e+03
5.155012769853931331e+02,1.248962356511413418e+03
5.126989289982108176e+02,1.258561671370232034e+03
5.141375231138378012e+02,1.268457652724826630e+03
5.169698194016835942e+02,1.278048173969152003e+03
5.202552430330554216e+02,1.287493066322293089e+03
5.212213379576884336e+02,1.297446289950675919e+03
5.188789178718446919e+02,1.307168073127718799e+03
5.179438942455527695e+02,1.317124263705358317e+03
5.129574158004058972e+02,1.325792310354753226e+03
5.060679289112088100e+02,1.333040411513234631e+03
4.988413669346554116e+02,1.339952488046305689e+03
4.901889266010372808e+02,1.344965997423296812e+03
4.823380524103947096e+02,1.351159847150461928e+03
4.742013553609841097e+02,1.356973121711852627e+03
4.657972676886607246e+02,1.362392652170841075e+03
4.596279527471233450e+02,1.370262820730162048e+03
4.503500850041446029e+02,1.373993929163830899e+03
4.434605981149475156e+02,1.381242030322312530e+03
4.369237932168038014e+02,1.388809736825844766e+03
4.282713528831856706e+02,1.393823246202835890e+03
4.182713650610476748e+02,1.393838852518612612e+03
4.082819612548826171e+02,1.393378622578935619e+03
3.993864663646534723e+02,1.388810234388566187e+03
3.902836743906099173e+02,1.384670285321574056e+03
3.837232805594552474e+02,1.377123018744849333e+03
3.783037501004669139e+02,1.368718931072525947e+03
3.694082552102377690e+02,1.364150542882156515e+03
3.594203365608799459e+02,1.364641950100062331e+03
3.498210217020613868e+02,1.361839602112879902e+03
3.398316178958963292e+02,1.361379372173202910e+03
3.298754273182569250e+02,1.360444348546910987e+03
3.207856015399559624e+02,1.364612689622223343e+03
3.149977520376287998e+02,1.372767491774232440e+03
3.068610549882181999e+02,1.378580766335623139e+03
2.979798625535797783e+02,1.383176897419363058e+03
2.918105476120423987e+02,1.391047065978684032e+03
2.845839856354890003e+02,1.397959142511755090e+03
2.764472885860784004e+02,1.403772417073145789e+03
2.699104836879346863e+02,1.411340123576678025e+03
2.630209967987375421e+02,1.418588224735159429e+03
2.606785767128937437e+02,1.428310007912202309e+03
2.537890898236966279e+02,1.435558109070683713e+03
2.465625278471432296e+02,1.442470185603754771e+03
2.396730409579461138e+02,1.449718286762236175e+03
2.312689532856227288e+02,1.455137817221224395e+03
2.250996383440853208e+02,1.463007985780545368e+03
2.201131598989384202e+02,1.471676032429940278e+03
2.191781362726464693e+02,1.481632223007579796e+03
2.159222086036468795e+02,1.491087324012552926e+03
2.083749420269220423e+02,1.497647717843707596e+03
1.999708543545986572e+02,1.503067248302695816e+03
1.900748730000040894e+02,1.504505842418322800e+03
1.802585514998498297e+02,1.506413676846570979e+03
1.702691476936847721e+02,1.505953446906893987e+03
1.606698328348661846e+02,1.503151098919711558e+03
1.506819141855083330e+02,1.503642506137617374e+03
1.408596856559928199e+02,1.501765320288008525e+03
1.327048835039837797e+02,1.495977470785681362e+03
1.268916089425929812e+02,1.487840773736270876e+03
