x,y
1.429319765927217986e+03,1.690745479766264225e+03
1.431819762962688174e+03,1.690741629748071773e+03
1.434317365364418492e+03,1.690851093179730697e+03
1.436810892564974210e+03,1.691030876660866397e+03
1.439292763538084500e+03,1.691331403652719246e+03
1.441782517324729952e+03,1.691557514426200669e+03
1.444270160381600590e+03,1.691805772400098022e+03
1.446744068010503725e+03,1.692166023761864608e+03
1.449198214972056803e+03,1.692642639635603018e+03
1.451671678992173156e+03,1.693005924291472638e+03
1.454127013802438114e+03,1.693476382546263721e+03
1.456587137407277396e+03,1.693921120501594942e+03
1.459058752565515078e+03,1.694296777938057858e+03
1.461542258071626065e+03,1.694583484061319950e+03
1.464015699479082286e+03,1.694946922644688584e+03
1.466494582211294073e+03,1.695271176249051450e+03
1.468985492919147418e+03,1.695484164148946775e+03
1.471481198546706992e+03,1.695630634011263282e+03
1.473968350913401309e+03,1.695883760668978994e+03
1.476465104696406343e+03,1.696011120580449187e+03
1.478965063345123781e+03,1.696025499547837626e+03
1.481460846025265482e+03,1.696170650550260689e+03
1.483954755453152302e+03,1.696345051712805343e+03
1.486441797280736864e+03,1.696599262152883966e+03
1.488926291076700181e+03,1.696877273983244095e+03
1.491405298033301506e+03,1.697200576487290391e+03
1.493890947585713320e+03,1.697468057893363721e+03
1.496381812595079737e+03,1.697681579567002700e+03
1.498877582079096101e+03,1.697826957291061490e+03
1.501373634308790088e+03,1.697967396839052526e+03
1.503873354720955149e+03,1.698004784818470171e+03
1.506372981498509944e+03,1.698047981727287606e+03
1.508869857378912002e+03,1.698172925065910704e+03
1.511364259213911510e+03,1.698340135967323704e+03
1.513855060482128692e+03,1.698554399921940558e+03
1.516336623301526970e+03,1.698857460927977854e+03
1.518815748098053973e+03,1.699179858575681919e+03
1.521290322326231490e+03,1.699535502202420503e+03
1.523769131773627805e+03,1.699860315569600971e+03
1.526242172499411481e+03,1.700226470685113100e+03
1.528728547169569765e+03,1.700487125628660806e+03
1.531224197762947142e+03,1.700634530227556070e+03
1.533709209681309858e+03,1.700907872075056957e+03
1.536189910597363223e+03,1.701217909113315727e+03
1.538654819114753991e+03,1.701635312995538925e+03
1.541116748501410711e+03,1.702069943522672020e+03
1.543592074382720966e+03,1.702420317296398480e+03
1.546067334236071702e+03,1.702771157229117762e+03
1.548552886365198901e+03,1.703039542425041645e+03
1.551025262046001444e+03,1.703410161492247198e+03
1.553497649222857945e+03,1.703780703861909615e+03
1.555952524328450636e+03,1.704253555018133056e+03
1.558399574148475949e+03,1.704765362773363449e+03
1.560838611946354376e+03,1.705314083668282365e+03
1.563285809897520494e+03,1.705825182668289926e+03
1.565728665017217281e+03,1.706356651260184890e+03
1.568184898560678221e+03,1.706822394515613269e+03
1.570626739504035640e+03,1.707358503466614138e+03
1.573056480697553980e+03,1.707947025116615350e+03
1.575490147931987849e+03,1.708519094860653013e+03
1.577911235027498833e+03,1.709142261993892589e+03
1.580319044023951847e+03,1.709814910369048675e+03
1.582732435403055888e+03,1.710467246211438578e+03
1.585133249321444737e+03,1.711164449574360560e+03
1.587522853100862449e+03,1.711899156167084584e+03
1.589927571791031369e+03,1.712582770108686191e+03
1.592304513613266408e+03,1.713357462030491661e+03
1.594644149752101612e+03,1.714238428963955357e+03
1.597005966754547217e+03,1.715058075501774738e+03
1.599355556124588475e+03,1.715912142122237810e+03
1.601732386556998108e+03,1.716687175731555044e+03
1.604100333844357465e+03,1.717488939814242258e+03
1.606497199182387476e+03,1.718199599051394898e+03
1.608879161402374393e+03,1.718958714314418103e+03
1.611275209537738192e+03,1.719672123967436619e+03
1.613677336163055998e+03,1.720364791041823310e+03
1.616065004637458514e+03,1.721105762874179163e+03
1.618438026737663904e+03,1.721892379751659291e+03
1.620767207781014577e+03,1.722800628433076099e+03
1.623100518469722147e+03,1.723698214768735625e+03
1.625475116467177713e+03,1.724480061525127439e+03
1.627816219037719065e+03,1.725357124096557982e+03
1.630184679974111077e+03,1.726157369554392972e+03
1.632540738836913306e+03,1.726993423760178302e+03
1.634901696644632011e+03,1.727815541896562991e+03
1.637245974868420717e+03,1.728684080674896677e+03
1.639562791966936175e+03,1.729623420087477143e+03
1.641874515724651474e+03,1.730575225355383964e+03
1.644196327655165760e+03,1.731502150033726821e+03
1.646478762860682991e+03,1.732522193921319740e+03
1.648744714519532636e+03,1.733578348777274414e+03
1.650970504868901571e+03,1.734716706067696123e+03
1.653205806051532136e+03,1.735836272333234092e+03
1.655382949788906444e+03,1.737065111275818481e+03
1.657539498772791603e+03,1.738329744218653559e+03
1.659644963192359455e+03,1.739677712904466944e+03
1.661798921206224577e+03,1.740946753831508431e+03
1.663949493484790537e+03,1.742221523957713089e+03
1.666139980775188633e+03,1.743426416247755924e+03
