x,y
3.415365852557554263e+02,9.817597517040672983e+02
3.470604819154195866e+02,9.625377183648663504e+02
3.516635007014731968e+02,9.430746194837724943e+02
3.623791133337378483e+02,9.261874750858805783e+02
3.738861114946877251e+02,9.098293274730273197e+02
3.861584281324466588e+02,8.940372331108919752e+02
4.005532796371962831e+02,8.801524122565846255e+02
4.167776283436237463e+02,8.684575198221821211e+02
4.282846265045736232e+02,8.520993722093288625e+02
4.390002391368382746e+02,8.352122278114370602e+02
4.520100735070275846e+02,8.200219608730241134e+02
4.642823901447865182e+02,8.042298665108887690e+02
4.820059551003870411e+02,7.949629767810706653e+02
4.942782717381459747e+02,7.791708824189353209e+02
5.007105328688136296e+02,7.602334587095998586e+02
5.080365873301900592e+02,7.416235439857505298e+02
5.107686781207080458e+02,7.218110307703009312e+02
5.032284815430173239e+02,7.032868456176476002e+02
4.984012997085660572e+02,6.838781281036760902e+02
4.926560814708385578e+02,6.647210806432534582e+02
4.860058415970007673e+02,6.458591001104351790e+02
4.735522099145733819e+02,6.302095934754501059e+02
4.618573174801708774e+02,6.139852447690226427e+02
4.454991698673176188e+02,6.024782466080728227e+02
4.258390956232905182e+02,5.988065330136673765e+02
4.075988473273577597e+02,5.906032810912452078e+02
3.879387730833306591e+02,5.869315674968397616e+02
3.681262598678810036e+02,5.841994767063217751e+02
3.502969980289389014e+02,5.751376103269028590e+02
3.339388504160856428e+02,5.636306121659530390e+02
3.238391357533458859e+02,5.463680583649871778e+02
3.064612493839561580e+02,5.364681055705250401e+02
2.895741049860642988e+02,5.257524929382603887e+02
2.695916026239815437e+02,5.249160723805516682e+02
2.496715321519199335e+02,5.231297934582948983e+02
2.322936457825302057e+02,5.132298406638327606e+02
2.122939783253283110e+02,5.133451732322566841e+02
1.928852608113568294e+02,5.181723550667079508e+02
1.784904093066072051e+02,5.320571759210153004e+02
1.662180926688482998e+02,5.478492702831506449e+02
1.518232411640986754e+02,5.617340911374579946e+02
1.462993445044344867e+02,5.809561244766589425e+02
1.511265263388857534e+02,6.003648419906304525e+02
1.568717445766132244e+02,6.195218894510530845e+02
1.616989264110644910e+02,6.389306069650245945e+02
1.637148260005697580e+02,6.588287513218492677e+02
1.572825648699020746e+02,6.777661750311847300e+02
1.573978974383259697e+02,6.977658424883866246e+02
1.491946455159038294e+02,7.160060907843193263e+02
1.512105451054090963e+02,7.359042351411439995e+02
1.596236174165208297e+02,7.540486616762540280e+02
1.759817650293740598e+02,7.655556598372039616e+02
1.956418392734011888e+02,7.692273734316094078e+02
2.154543524888508159e+02,7.719594642221273944e+02
2.312464468509861319e+02,7.842317808598862712e+02
2.494866951469188905e+02,7.924350327823084399e+02
2.673159569858610212e+02,8.014968991617273559e+02
2.782256174793998866e+02,8.182593365714752736e+02
2.811860255682642560e+02,8.380390227152790885e+02
2.813013581366881795e+02,8.580386901724809832e+02
2.897144304477999412e+02,8.761831167075910116e+02
3.049046973862128880e+02,8.891929510777803216e+02
3.206967917483481756e+02,9.014652677155391984e+02
3.396342154576836379e+02,9.078975288462069102e+02
3.592506360375317627e+02,9.039993185344726498e+02
3.754749847439592259e+02,8.923044261000701454e+02
3.853749375384213636e+02,8.749265397306803607e+02
3.852596049699974401e+02,8.549268722734784660e+02
3.916918661006651519e+02,8.359894485641430038e+02
4.067310794982663538e+02,8.228052891149625339e+02
4.182380776592162306e+02,8.064471415021092753e+02
4.237619743188803909e+02,7.872251081629083274e+02
4.226951498896862631e+02,7.672535812899506027e+02
4.206792503001809678e+02,7.473554369331259295e+02
4.089843578657784633e+02,7.311310882266984663e+02
4.014441612880877415e+02,7.126069030740451353e+02
3.966169794536364748e+02,6.931981855600736253e+02
3.946010798641311794e+02,6.733000412032489521e+02
3.879508399902933888e+02,6.544380606704306729e+02
3.840526296785590716e+02,6.348216400905826049e+02
3.756395573674473098e+02,6.166772135554725764e+02
3.774258362897040797e+02,5.967571430834109378e+02
3.838580974203717346e+02,5.778197193740754756e+02
3.818421978308664393e+02,5.579215750172508024e+02
3.807753734016722547e+02,5.379500481442930777e+02
3.862992700613364150e+02,5.187280148050921298e+02
4.006941215660860394e+02,5.048431939507847801e+02
4.169184702725135026e+02,4.931483015163822756e+02
4.336809076822614202e+02,4.822386410228434102e+02
4.530896251962329302e+02,4.774114591883921435e+02
4.716138103488862043e+02,4.698712626107014216e+02
4.897582368839962328e+02,4.614581902995896598e+02
5.074818018395967556e+02,4.521913005697715562e+02
