x,y
3.422173485497630168e+02,9.954093275400824723e+02
3.521142120944852536e+02,9.939768150699281932e+02
3.614014035770799751e+02,9.976846546518977448e+02
3.695526473842165274e+02,1.003477514428952418e+03
3.791502383045681199e+02,1.006285760950464464e+03
3.873014821117046722e+02,1.012078620727519137e+03
3.938572366851118431e+02,1.019629917435585298e+03
4.029574828189371374e+02,1.023775459656308385e+03
4.125550737392887299e+02,1.026583706177820432e+03
4.225432924869936642e+02,1.026098436924728730e+03
4.323643655755037116e+02,1.027981658470416733e+03
4.418174639310834095e+02,1.031243395964412230e+03
4.490613299270750076e+02,1.038137335725689354e+03
4.577263106009499438e+02,1.043129140000836060e+03
4.655926864473258888e+02,1.049303290229292998e+03
4.753130283021034188e+02,1.051651684196722726e+03
4.849106192224550114e+02,1.054459930718234773e+03
4.946309610772325414e+02,1.056808324685664502e+03
5.018748270732241394e+02,1.063702264446941626e+03
5.064654995331416671e+02,1.072586279663371442e+03
5.143318753795175553e+02,1.078760429891828153e+03
5.224831191866541076e+02,1.084553289668882826e+03
5.266458735075476625e+02,1.093645675299941558e+03
5.266553345314882790e+02,1.103645670824391800e+03
5.290221171639453814e+02,1.113361551637303137e+03
5.327475233683948090e+02,1.122641710505116180e+03
5.313337403469577112e+02,1.132541266938022545e+03
5.276259007649881596e+02,1.141828458420617380e+03
5.243641632709926625e+02,1.151281556776197021e+03
5.234230214470705960e+02,1.161237170874145249e+03
5.229566528095979265e+02,1.171226289969139543e+03
5.257830549030984457e+02,1.180818549932560927e+03
5.234346609356687168e+02,1.190538891787338343e+03
5.172605107072118926e+02,1.198405267633714175e+03
5.083764954907821902e+02,1.202995940093631816e+03
4.992841098597235145e+02,1.207158694414525371e+03
4.900039509919104717e+02,1.210884100618974799e+03
4.824526542838443106e+02,1.217439855192382083e+03
4.740452377363217238e+02,1.222854220067087454e+03
4.678710875078648996e+02,1.230720595913463285e+03
4.664573044864278017e+02,1.240620152346369650e+03
4.664667655103684183e+02,1.250620147870819892e+03
4.697463843551034870e+02,1.260067057430737350e+03
4.707063625464089682e+02,1.270020872873682720e+03
4.739859813911440369e+02,1.279467782433600178e+03
4.768123834846444993e+02,1.289060042397021562e+03
4.772976527377362004e+02,1.299048261144726439e+03
4.810230589421856848e+02,1.308328420012539482e+03
4.860312501914892209e+02,1.316983939662473858e+03
4.888576522849896833e+02,1.326576199625895242e+03
4.921372711297247520e+02,1.336023109185812700e+03
4.958626773341742364e+02,1.345303268053625743e+03
5.000254316550677913e+02,1.354395653684684476e+03
5.037508378595172758e+02,1.363675812552497518e+03
5.023370548380801779e+02,1.373575368985403884e+03
5.023465158620207944e+02,1.383575364509854126e+03
5.056261347067558631e+02,1.393022274069771584e+03
5.118151586695086053e+02,1.400876953082211912e+03
5.176234318917308883e+02,1.409017221024731725e+03
5.204498339852314075e+02,1.418609480988153109e+03
5.237294528299664762e+02,1.428056390548070567e+03
5.246894310212719574e+02,1.438010205991015937e+03
5.304977042434942405e+02,1.446150473933535750e+03
5.374053385348936445e+02,1.453381282221430183e+03
5.458229851138506774e+02,1.458779728856507063e+03
5.533866731280801332e+02,1.465321183100282042e+03
5.632077462165901807e+02,1.467204404645970044e+03
5.726608445721699354e+02,1.470466142139965541e+03
5.792165991455771064e+02,1.478017438848031588e+03
5.878815798194520994e+02,1.483009243123178294e+03
5.978815753439023410e+02,1.482999782099237564e+03
6.069739609749609599e+02,1.478837027778344009e+03
6.169295750729091878e+02,1.479778169602266189e+03
6.250808188800457401e+02,1.485571029379320862e+03
6.350364329779939681e+02,1.486512171203243042e+03
6.447567748327714980e+02,1.488860565170672771e+03
6.540439663153662195e+02,1.492568404752642209e+03
6.637643081701437495e+02,1.494916798720071938e+03
6.730514996527384710e+02,1.498624638302041376e+03
6.830397184004433484e+02,1.498139369048949675e+03
6.930397139248937037e+02,1.498129908025008945e+03
7.021399600587189980e+02,1.502275450245732145e+03
7.119610331472290454e+02,1.504158671791420147e+03
7.216769139601403822e+02,1.501791889158962931e+03
7.314944060275430502e+02,1.499890087511449337e+03
7.396346739700628632e+02,1.494081814289227168e+03
7.461761282138378419e+02,1.486518126274997712e+03
7.515745748489147218e+02,1.478100479696040566e+03
7.529883578703518197e+02,1.468200923263134200e+03
7.548715794160397081e+02,1.458379850174624153e+03
7.515919605713046394e+02,1.448932940614706695e+03
7.496901589237910457e+02,1.439115448547303913e+03
7.501565275612637151e+02,1.429126329452309392e+03
7.491965493699582339e+02,1.419172514009364022e+03
7.533420915906813207e+02,1.410072267875538728e+03
7.595162418191381448e+02,1.402205892029162897e+03
7.653091015961928179e+02,1.394054648222026344e+03
7.739646212461271944e+02,1.389046456972722808e+03
7.805060754899021731e+02,1.381482768958493352e+03
7.891615951398365496e+02,1.376474577709189816e+03
7.989790872072392176e+02,1.374572776061676223e+03
8.065303839153053787e+02,1.368017021488268938e+03
8.163478759827080466e+02,1.366115219840755344e+03
8.258009743382878014e+02,1.369376957334750841e+03
8.346936601389021462e+02,1.373950811207750348e+03
8.433586408127771392e+02,1.378942615482897054e+03
8.512250166591530842e+02,1.385116765711353764e+03
8.566393815338584545e+02,1.393524182258876408e+03
8.616475727831619906e+02,1.402179701908810785e+03
8.703125534570369837e+02,1.407171506183957490e+03
8.787302000359940166e+02,1.412569952819034370e+03
8.868814438431305689e+02,1.418362812596089043e+03
8.941253098391222238e+02,1.425256752357366167e+03
9.016889978533516796e+02,1.431798206601141146e+03
9.074972710755739627e+02,1.439938474543660959e+03
9.156485148827105149e+02,1.445731334320715632e+03
9.228923808787021699e+02,1.452625274081992757e+03
9.290814048414549688e+02,1.460479953094433085e+03
9.356371594148621398e+02,1.468031249802499133e+03
9.418261833776149388e+02,1.475885928814939462e+03
9.496925592239908838e+02,1.482060079043396172e+03
9.572562472382203396e+02,1.488601533287171151e+03
9.645001132342119945e+02,1.495495473048448275e+03
9.739532115897917492e+02,1.498757210542443772e+03
9.818195874361676942e+02,1.504931360770900483e+03
9.899708312433042465e+02,1.510724220547955156e+03
9.992580227258989680e+02,1.514432060129924594e+03
1.008358268859724262e+03,1.518577602350647794e+03
1.014166542081946545e+03,1.526717870293167607e+03
1.020355566044699344e+03,1.534572549305607936e+03
1.025363757294002880e+03,1.543228068955542312e+03
1.032271391585402171e+03,1.550458877243436746e+03
1.037279582834705707e+03,1.559114396893371122e+03
1.037289043858646437e+03,1.569114392417821364e+03
1.034027306364650940e+03,1.578567490773401005e+03
1.029453452491651433e+03,1.587460176574015350e+03
1.024461648216504727e+03,1.596125157247890229e+03
1.021653401694992795e+03,1.605722748168241878e+03
1.021187033057520125e+03,1.615711867263236400e+03
1.017479193475550687e+03,1.624999058745831235e+03
1.017964462728642388e+03,1.634987277493536112e+03
1.021689868933091816e+03,1.644267436361349155e+03
1.024056651565548918e+03,1.653983317174260492e+03
1.025958453213062512e+03,1.663800809241663273e+03
1.024544670191625301e+03,1.673700365674569639e+03
1.023603528367703234e+03,1.683655979772517867e+03
1.026883147212438416e+03,1.693102889332435325e+03
1.031473819672356058e+03,1.701986904548865141e+03
1.036482010921659594e+03,1.710642424198799517e+03
1.043389645213058884e+03,1.717873232486693951e+03
1.049945399786466169e+03,1.725424529194759998e+03
1.052771801879966688e+03,1.735016789158181382e+03
1.059327556453373973e+03,1.742568085866247429e+03
